Tom_X,Tom_Y,Jerry_X,Jerry_Y,Spike_X,Spike_Y
3,17,13,9,5,13
11,19,4,8,2,1
10,20,3,7,3,2
9,21,2,6,4,3
8,22,3,5,5,4
7,23,4,4,6,5
6,24,5,3,7,6
5,23,6,2,8,7
4,22,7,1,9,8
3,21,8,1,8,9
2,20,9,2,7,10
1,19,10,3,6,11
2,20,10,4,5,12
3,21,9,3,4,13
4,22,8,2,5,14
5,23,7,1,6,15
6,24,6,1,7,16
5,23,7,1,6,17
6,24,6,1,7,18
5,23,7,1,6,19
4,22,6,1,7,20
3,21,7,2,6,19
2,20,8,3,6,18
1,19,9,4,5,17
1,18,10,5,4,16
1,17,11,6,4,15
1,16,12,7,4,14
1,15,13,8,4,13
2,16,14,8,4,12
3,17,13,7,5,13
4,18,12,6,6,14
5,19,11,5,7,15
