Tom_X,Tom_Y,Jerry_X,Jerry_Y,Spike_X,Spike_Y
21,17,11,9,19,13
7,9,16,3,24,28
8,8,17,4,23,27
9,7,18,5,22,26
10,6,19,6,21,25
11,5,20,7,20,24
12,4,21,8,19,23
13,3,22,9,18,22
14,2,23,10,17,21
15,1,24,11,16,20
16,0,23,12,15,19
17,0,22,13,14,18
18,0,21,14,13,17
19,1,20,15,12,16
20,2,19,16,11,15
21,3,18,17,10,14
22,4,17,18,11,13
23,5,16,19,12,12
24,6,15,18,13,11
25,7,14,17,14,10
26,8,13,16,15,9
27,9,12,15,16,8
28,10,11,14,17,7
27,11,10,13,18,8
26,12,9,12,19,9
25,13,8,11,20,10
24,14,9,10,21,11
23,15,9,9,21,11
22,16,10,8,20,12
21,17,11,7,19,13
20,18,12,6,18,14
19,19,13,5,17,15
