Tom_X,Tom_Y,Jerry_X,Jerry_Y,Spike_X,Spike_Y
5,19,16,20,8,19
18,27,9,10,3,26
19,26,8,11,4,27
20,25,7,12,5,28
21,24,6,12,6,29
22,23,6,12,7,29
23,22,6,12,8,29
24,21,6,12,9,29
23,20,6,12,10,29
22,19,6,12,11,29
22,18,6,12,12,28
23,17,6,12,13,27
22,16,7,13,14,26
21,15,7,14,15,25
20,14,7,15,16,24
19,13,6,16,17,23
18,14,5,17,18,22
17,15,4,18,19,21
16,14,5,19,18,20
15,13,6,20,17,19
14,12,7,21,16,18
13,11,8,22,15,17
12,12,9,23,14,16
11,13,10,24,13,15
10,14,11,25,12,14
9,15,12,24,11,15
8,16,13,23,12,16
7,17,14,22,11,17
6,18,15,21,10,18
5,19,16,20,9,19
