Tom_X,Tom_Y,Jerry_X,Jerry_Y,Spike_X,Spike_Y
10,5,22,11,14,7
20,19,7,1,18,4
19,20,8,0,19,5
18,21,9,0,20,6
17,22,10,0,21,7
16,21,11,0,22,8
15,20,12,0,21,9
14,19,13,0,20,10
13,18,14,0,19,11
12,17,15,0,18,12
11,16,16,1,17,13
10,15,17,2,16,14
9,14,18,3,15,15
8,13,19,4,14,14
7,12,20,5,13,13
6,11,21,6,12,12
5,10,22,7,11,11
6,9,23,8,10,10
7,8,24,9,9,9
8,7,24,9,10,9
9,6,23,10,11,9
