Tom_X,Tom_Y,Jerry_X,Jerry_Y,Spike_X,Spike_Y
6,14,17,11,10,12
15,10,4,6,5,26
14,9,3,7,6,25
13,8,2,8,7,24
12,7,2,9,8,23
11,6,2,10,9,22
10,5,2,11,10,21
9,4,2,12,11,21
8,3,3,13,12,20
7,2,4,14,13,19
6,2,5,15,14,18
5,3,6,15,15,17
4,4,7,16,16,16
3,5,8,17,17,15
2,6,9,18,16,14
2,7,10,18,15,13
2,8,11,18,14,12
2,9,12,17,13,11
2,10,13,16,12,10
2,11,14,15,11,9
3,12,15,14,10,10
4,13,16,13,9,11
5,14,17,12,8,12
6,15,16,11,8,12
7,16,15,10,9,12
8,17,14,9,10,13
9,18,13,8,11,14
10,18,13,8,12,15
9,17,14,9,13,15
8,16,15,10,12,14
7,15,16,11,11,13
