Tom_X,Tom_Y,Jerry_X,Jerry_Y,Spike_X,Spike_Y
14,22,21,2,16,18
3,4,28,18,16,9
2,5,28,17,15,8
1,6,28,16,14,7
1,7,28,15,13,6
1,8,28,14,12,7
1,9,28,13,11,8
2,10,28,12,10,9
3,11,28,11,9,10
4,12,28,10,8,11
5,13,28,11,7,10
6,14,27,10,8,11
7,15,26,9,9,11
8,16,25,8,10,12
9,17,24,7,11,13
10,18,23,6,12,14
11,19,22,5,13,15
12,20,21,4,14,16
13,21,20,3,15,17
14,22,20,2,16,18
