Tom_X,Tom_Y,Jerry_X,Jerry_Y,Spike_X,Spike_Y
5,11,22,21,7,15
26,17,6,7,5,14
27,16,5,8,6,15
28,15,4,9,7,16
28,14,3,10,8,17
27,13,2,11,9,18
26,12,2,12,10,19
25,11,2,13,11,18
24,10,1,14,12,17
23,9,1,15,13,16
22,8,2,16,14,16
21,7,3,17,15,17
20,6,4,18,16,16
19,5,5,19,17,15
18,4,6,20,18,14
17,3,7,21,19,13
16,2,8,22,19,12
15,1,9,23,18,11
14,2,10,24,17,10
13,3,11,25,16,9
12,4,12,26,15,8
11,5,13,27,14,7
10,6,14,26,13,8
9,7,15,25,13,9
8,8,16,24,12,10
7,9,17,24,11,11
6,10,18,25,10,12
5,11,19,24,9,13
4,12,20,23,8,14
3,13,21,22,7,15
2,14,22,21,6,16
3,13,23,22,5,17
4,12,22,23,6,16
5,11,21,24,7,15
6,10,20,25,8,14
7,9,19,25,9,13
8,8,18,26,10,12
9,7,17,27,11,11
10,6,16,26,12,10
