Tom_X,Tom_Y,Jerry_X,Jerry_Y,Spike_X,Spike_Y
14,1,18,15,16,5
26,9,22,0,4,24
27,8,21,0,5,23
28,7,20,1,6,22
27,6,19,2,7,21
26,5,18,3,8,20
25,4,17,4,9,19
25,3,16,5,10,18
25,2,15,6,11,17
24,1,14,7,12,18
23,0,13,8,13,17
22,0,12,9,14,16
21,0,11,10,15,15
20,0,12,11,16,14
19,0,13,12,17,13
18,0,14,13,18,12
17,0,15,14,19,11
16,1,16,15,20,10
15,1,17,16,19,9
14,1,18,16,18,8
13,2,19,15,17,7
12,3,20,14,16,6
11,4,21,13,15,6
10,5,22,12,14,7
9,6,23,11,13,8
