Tom_X,Tom_Y,Jerry_X,Jerry_Y,Spike_X,Spike_Y
17,20,8,7,13,18
16,28,8,10,8,4
15,29,7,9,9,5
14,29,8,8,10,6
13,29,9,7,11,7
12,29,10,6,12,8
11,29,11,5,13,9
10,28,12,4,13,10
9,27,13,5,14,11
8,26,14,5,13,12
7,25,15,5,12,13
8,26,16,4,11,14
9,27,15,3,10,15
10,28,14,2,9,16
11,29,13,1,10,17
12,28,12,0,11,18
13,27,11,0,12,19
12,28,12,0,11,20
13,27,11,0,12,21
12,28,12,0,11,22
13,27,11,0,12,23
14,26,12,0,11,24
15,25,11,1,12,23
16,24,10,2,12,22
16,23,9,3,13,21
17,22,8,4,13,20
16,21,7,5,14,19
17,20,6,6,13,18
18,19,5,7,14,17
19,18,4,8,15,16
20,17,5,9,16,15
21,16,4,10,17,14
